document_id;word_id;word;sentence;synonims
1;167;etiquetado;La importancia de leer bien el etiquetado antes de comprar un alimento;letrero, inscripción, rótulo
1;168;etiqueta;El Ministerio de Sanidad, Consumo y Bienestar Social ha elaborado, junto a las comunidades autónomas, la campaña ‘Esta Navidad…Que tu mesa se vista de etiqueta’ con el objetivo de recordar a la población la información que debe tener en cuenta a la hora de comprar alimentos envasados o a granel así como los datos que deben figurar en las páginas web que venden online;ceremonia, protocolo
1;169;envasados;El Ministerio de Sanidad, Consumo y Bienestar Social ha elaborado, junto a las comunidades autónomas, la campaña ‘Esta Navidad…Que tu mesa se vista de etiqueta’ con el objetivo de recordar a la población la información que debe tener en cuenta a la hora de comprar alimentos envasados o a granel así como los datos que deben figurar en las páginas web que venden online;empaquetados
1;170;a granel;El Ministerio de Sanidad, Consumo y Bienestar Social ha elaborado, junto a las comunidades autónomas, la campaña ‘Esta Navidad…Que tu mesa se vista de etiqueta’ con el objetivo de recordar a la población la información que debe tener en cuenta a la hora de comprar alimentos envasados o a granel así como los datos que deben figurar en las páginas web que venden online;suelto, sin envase
1;171;online;El Ministerio de Sanidad, Consumo y Bienestar Social ha elaborado, junto a las comunidades autónomas, la campaña ‘Esta Navidad…Que tu mesa se vista de etiqueta’ con el objetivo de recordar a la población la información que debe tener en cuenta a la hora de comprar alimentos envasados o a granel así como los datos que deben figurar en las páginas web que venden online;en línea, conectado a Internet
1;172;comensales;Así, el folleto financiado por el Programa de Consumo de la Unión Europea, hace unas recomendaciones generales como por ejemplo diseñar los menús con antelación para ajustarse a las preferencias de los comensales, las cantidades de ingredientes y los tiempos de elaboración e insiste en intentar que sean saludables y evitar que las comidas sean copiosas;invitados
1;173;saludables;Así, el folleto financiado por el Programa de Consumo de la Unión Europea, hace unas recomendaciones generales como por ejemplo diseñar los menús con antelación para ajustarse a las preferencias de los comensales, las cantidades de ingredientes y los tiempos de elaboración e insiste en intentar que sean saludables y evitar que las comidas sean copiosas;sanos, beneficiosos
1;174;copiosas;Así, el folleto financiado por el Programa de Consumo de la Unión Europea, hace unas recomendaciones generales como por ejemplo diseñar los menús con antelación para ajustarse a las preferencias de los comensales, las cantidades de ingredientes y los tiempos de elaboración e insiste en intentar que sean saludables y evitar que las comidas sean copiosas;abundante
1;175;crudos;Una vez en casa también hay que conservar los alimentos de la manera indicada y tener cuidado especialmente con aquellos que se vayan a tomar crudos;sin cocinar
1;176;denominación;A la hora de hacer la compra cuando se trata de alimentos envasados en la etiqueta se debe revisar que figure: denominación del alimento, lista de ingredientes, alérgenos, cantidad de determinados ingredientes o determinadas categorías de ingredientes, fecha de duración mínima o de caducidad y condiciones especiales de conservación y/o de utilización;nombre
1;177;reclamar;Respecto a la compra de productos online la página web deberá incluir los datos que ayuden a identificar al responsable, como por ejemplo nombre o denominación social, dirección o registro mercantil, para poder reclamar en caso de que haya alguna irregularidad;demandar, quejarse, exigir
1;178;irregularidad;Respecto a la compra de productos online la página web deberá incluir los datos que ayuden a identificar al responsable, como por ejemplo nombre o denominación social, dirección o registro mercantil, para poder reclamar en caso de que haya alguna irregularidad;anomalía, alteración, variación
1;179;óptimas;Cuando se reciba el producto Consumo recomienda comprobar que éste se corresponda con lo que se ha pedido y llegue en óptimas condiciones de consumo, que el embalaje se presente íntegro, que el etiquetado esté en español e incluya la información obligatoria, la fecha de caducidad o consumo preferente y que llegue en las condiciones de conservación adecuadas;buenas, excelentes
1;180;embalaje;Cuando se reciba el producto Consumo recomienda comprobar que éste se corresponda con lo que se ha pedido y llegue en óptimas condiciones de consumo, que el embalaje se presente íntegro, que el etiquetado esté en español e incluya la información obligatoria, la fecha de caducidad o consumo preferente y que llegue en las condiciones de conservación adecuadas;envase, envoltorio
1;181;íntegro;Cuando se reciba el producto Consumo recomienda comprobar que éste se corresponda con lo que se ha pedido y llegue en óptimas condiciones de consumo, que el embalaje se presente íntegro, que el etiquetado esté en español e incluya la información obligatoria, la fecha de caducidad o consumo preferente y que llegue en las condiciones de conservación adecuadas;entero, completo, intacto
